Region,Scam type,Where it happens,What it looks like,What to do
Europe,Friendship bracelet / “gift”,Tourist zones,"Someone ties/places an item and demands payment",Keep walking; say no firmly; don’t engage
Europe,Fake petition clipboard,Tourist hotspots,"Asks you to sign; distraction for pickpocketing",Don’t stop; keep hands on bag/phone
Europe,Taxi meter “broken”,Airports/stations,"Driver refuses meter or adds surprise fees",Use official taxis/app; confirm fare before entering
Europe,ATM “helpful stranger”,ATMs,"Someone offers help; tries to swap card or watch PIN",Decline help; cancel transaction; use bank ATMs
North America,Overpriced “tour” upsell,Tourist areas,"Aggressive sales for low-value tours or “VIP” access",Book via reputable platforms; walk away
North America,Fake parking ticket/QR,Parking lots,"QR code leading to fraudulent payment page",Use official meters/apps; don’t scan random QR
Southeast Asia,Motorbike “damage” claim,Rentals,"Claims you damaged the bike; demands payment",Take photos/video on pickup/return; use reputable shops
Southeast Asia,Closed attraction redirect,Tourist sites,"Tells you site is closed; redirects to shop/tour",Verify on official signage; ignore third-party “guides”
Southeast Asia,Money exchange shorting,Exchange booths,"Fast counting; gives less than expected",Count slowly; use banks; request receipt
Latin America,Distraction theft,Crowded areas,"Bump, spill, or commotion while someone grabs valuables",Keep zippers closed; carry valuables front/inside
Latin America,Card skimming,Restaurants/bars,"Card taken out of sight or suspicious device",Pay at the table; use tap where possible; monitor statements
Middle East,Unofficial “helpers”,Transit hubs,"Offers help with bags/tickets, then demands money",Politely decline; seek official staff counters
Anywhere,Pickpocketing,Crowds/transit,"Close contact; bags unzipped; phones targeted",Use crossbody; keep phone away; stay aware at chokepoints
Anywhere,Fake Wi‑Fi hotspot,Cafés/airports,"Network name mimics official; captures logins",Use your hotspot/VPN; confirm SSID with staff
